nurse_id,role,date,day_index,shift_type,hours,premium_pct,cost_dkk
N008,RN,2025-03-31,1,Day,8.0,0.0,1533.76
N009,SoSu,2025-03-31,1,Day,8.0,0.0,1201.92
N011,RN,2025-03-31,1,Day,8.0,0.0,1379.84
N012,RN,2025-03-31,1,Day,8.0,0.0,1397.12
N018,RN,2025-03-31,1,Day,8.0,0.0,1397.12
N021,RN,2025-03-31,1,Day,8.0,0.0,1477.68
N026,RN,2025-03-31,1,Day,8.0,0.0,1632.0
N027,SoSu,2025-03-31,1,Day,8.0,0.0,1270.4
N005,SoSu,2025-03-31,1,Evening,8.0,20.0,1333.2479999999998
N016,RN,2025-03-31,1,Evening,8.0,20.0,1587.84
N020,RN,2025-03-31,1,Evening,8.0,20.0,1646.9759999999999
N022,RN,2025-03-31,1,Evening,8.0,20.0,1564.128
N024,SoSu,2025-03-31,1,Evening,8.0,20.0,1360.896
N001,SoSu,2025-03-31,1,Night,8.0,32.8125,1545.5125
N013,RN,2025-03-31,1,Night,8.0,32.8125,2069.6437499999997
N017,RN,2025-03-31,1,Night,8.0,32.8125,1777.03125
N008,RN,2025-04-01,2,Day,8.0,0.0,1533.76
N018,RN,2025-04-01,2,Day,8.0,0.0,1397.12
N019,RN,2025-04-01,2,Day,8.0,0.0,1537.28
N023,RN,2025-04-01,2,Day,8.0,0.0,1451.28
N025,RN,2025-04-01,2,Day,8.0,0.0,1463.6
N026,RN,2025-04-01,2,Day,8.0,0.0,1632.0
N028,RN,2025-04-01,2,Day,8.0,0.0,1458.72
N030,RN,2025-04-01,2,Day,8.0,0.0,1461.2
N003,RN,2025-04-01,2,Evening,8.0,20.0,1646.9759999999999
N005,SoSu,2025-04-01,2,Evening,8.0,20.0,1333.2479999999998
N009,SoSu,2025-04-01,2,Evening,8.0,20.0,1442.304
N016,RN,2025-04-01,2,Evening,8.0,20.0,1587.84
N022,RN,2025-04-01,2,Evening,8.0,20.0,1564.128
N010,RN,2025-04-01,2,Night,8.0,32.8125,2125.53125
N024,SoSu,2025-04-01,2,Night,8.0,32.8125,1506.1999999999998
N029,RN,2025-04-01,2,Night,8.0,32.8125,1718.0624999999998
N011,RN,2025-04-02,3,Day,8.0,0.0,1379.84
N012,RN,2025-04-02,3,Day,8.0,0.0,1397.12
N013,RN,2025-04-02,3,Day,8.0,0.0,1558.32
N018,RN,2025-04-02,3,Day,8.0,0.0,1397.12
N019,RN,2025-04-02,3,Day,8.0,0.0,1537.28
N023,RN,2025-04-02,3,Day,8.0,0.0,1451.28
N026,RN,2025-04-02,3,Day,8.0,0.0,1632.0
N027,SoSu,2025-04-02,3,Day,8.0,0.0,1270.4
N003,RN,2025-04-02,3,Evening,8.0,20.0,1646.9759999999999
N005,SoSu,2025-04-02,3,Evening,8.0,20.0,1333.2479999999998
N009,SoSu,2025-04-02,3,Evening,8.0,20.0,1442.304
N017,RN,2025-04-02,3,Evening,8.0,20.0,1605.6
N022,RN,2025-04-02,3,Evening,8.0,20.0,1564.128
N001,SoSu,2025-04-02,3,Night,8.0,32.8125,1545.5125
N016,RN,2025-04-02,3,Night,8.0,32.8125,1757.375
N030,RN,2025-04-02,3,Night,8.0,32.8125,1940.65625
N008,RN,2025-04-03,4,Day,8.0,0.0,1533.76
N011,RN,2025-04-03,4,Day,8.0,0.0,1379.84
N012,RN,2025-04-03,4,Day,8.0,0.0,1397.12
N013,RN,2025-04-03,4,Day,8.0,0.0,1558.32
N018,RN,2025-04-03,4,Day,8.0,0.0,1397.12
N019,RN,2025-04-03,4,Day,8.0,0.0,1537.28
N023,RN,2025-04-03,4,Day,8.0,0.0,1451.28
N027,SoSu,2025-04-03,4,Day,8.0,0.0,1270.4
N005,SoSu,2025-04-03,4,Evening,8.0,20.0,1333.2479999999998
N014,RN,2025-04-03,4,Evening,8.0,20.0,1638.048
N017,RN,2025-04-03,4,Evening,8.0,20.0,1605.6
N020,RN,2025-04-03,4,Evening,8.0,20.0,1646.9759999999999
N024,SoSu,2025-04-03,4,Evening,8.0,20.0,1360.896
N001,SoSu,2025-04-03,4,Night,8.0,32.8125,1545.5125
N016,RN,2025-04-03,4,Night,8.0,32.8125,1757.375
N022,RN,2025-04-03,4,Night,8.0,32.8125,1731.1312500000001
N010,RN,2025-04-04,5,Day,8.0,0.0,1600.4
N011,RN,2025-04-04,5,Day,8.0,0.0,1379.84
