nurse_id,vacation_date
N001,2025-01-01
N001,2025-01-03
N001,2025-01-23
N001,2025-01-27
N001,2025-02-11
N001,2025-02-16
N001,2025-03-04
N001,2025-03-13
N002,2024-12-30
N002,2025-01-29
N002,2025-02-01
N002,2025-02-11
N002,2025-03-12
N002,2025-03-19
N002,2025-03-25
N002,2025-03-26
N003,2025-01-02
N003,2025-01-11
N003,2025-02-13
N003,2025-02-16
N003,2025-03-24
N003,2025-03-25
N003,2025-03-30
N004,2025-01-04
N004,2025-01-11
N004,2025-01-12
N004,2025-01-31
N004,2025-02-05
N004,2025-02-11
N004,2025-02-15
N004,2025-03-05
N005,2025-01-06
N005,2025-01-07
N005,2025-01-09
N005,2025-01-31
N005,2025-02-10
N005,2025-02-13
N005,2025-02-15
N005,2025-02-16
N006,2025-01-07
N006,2025-01-30
N006,2025-02-02
N006,2025-02-11
N006,2025-02-14
N006,2025-02-16
N006,2025-03-14
N007,2024-12-30
N007,2024-12-31
N007,2025-01-20
N007,2025-02-02
N007,2025-02-12
N007,2025-02-15
N007,2025-03-05
N007,2025-03-09
N007,2025-03-13
N007,2025-03-16
N008,2025-02-10
N008,2025-02-15
N008,2025-02-16
N008,2025-03-12
N008,2025-03-17
N009,2025-01-12
N009,2025-02-13
N009,2025-02-18
N009,2025-02-21
N009,2025-02-23
N009,2025-02-25
N009,2025-03-12
N009,2025-03-18
N009,2025-03-22
N010,2025-02-10
N010,2025-02-13
N010,2025-02-15
N010,2025-02-20
N010,2025-02-27
N010,2025-03-12
N010,2025-03-18
N011,2025-01-22
N011,2025-01-23
N011,2025-01-29
N011,2025-02-07
N011,2025-02-21
N011,2025-02-24
N011,2025-03-01
N011,2025-03-04
N011,2025-03-23
N011,2025-03-30
N012,2025-01-20
N012,2025-01-22
N012,2025-01-27
N012,2025-02-07
N012,2025-03-01
N012,2025-03-06
N012,2025-03-23
N012,2025-03-25
N012,2025-03-27
N013,2025-01-29
N013,2025-02-02
N013,2025-02-11
N013,2025-02-12
N013,2025-02-19
N013,2025-03-03
N013,2025-03-04
N013,2025-03-17
N013,2025-03-22
N013,2025-03-25
N014,2025-02-11
N014,2025-02-12
N014,2025-02-15
N014,2025-02-16
N014,2025-02-24
N014,2025-03-04
N014,2025-03-21
N015,2025-01-14
N015,2025-02-11
N015,2025-02-21
N015,2025-03-24
N015,2025-03-26
N016,2024-12-31
N016,2025-01-09
N016,2025-01-16
N016,2025-01-23
N016,2025-02-01
N016,2025-02-13
N016,2025-02-19
N016,2025-03-14
N017,2025-01-12
N017,2025-01-21
N017,2025-02-16
N017,2025-03-23
N017,2025-03-26
N018,2025-01-08
N018,2025-01-14
N018,2025-01-17
N018,2025-02-17
N018,2025-03-09
N019,2025-02-10
N019,2025-02-12
N019,2025-02-14
N019,2025-02-19
N019,2025-02-25
N019,2025-03-12
N019,2025-03-14
N019,2025-03-28
N019,2025-03-29
N020,2025-01-17
N020,2025-01-20
N020,2025-01-25
N020,2025-02-03
N020,2025-02-10
N020,2025-02-11
N020,2025-03-09
N020,2025-03-16
N021,2025-01-06
N021,2025-01-11
N021,2025-01-25
N021,2025-02-03
N021,2025-02-15
N021,2025-03-26
N022,2025-02-10
N022,2025-02-11
N022,2025-02-23
N022,2025-03-07
N022,2025-03-08
N023,2025-01-11
N023,2025-01-14
N023,2025-01-15
N023,2025-01-31
N023,2025-02-03
N023,2025-02-10
N023,2025-02-15
N023,2025-03-23
N024,2025-01-10
N024,2025-02-14
N024,2025-02-16
N024,2025-03-14
N024,2025-03-28
N025,2024-12-30
N025,2025-02-13
N025,2025-02-14
N025,2025-02-19
N025,2025-02-24
N025,2025-02-28
N025,2025-03-01
N025,2025-03-13
N025,2025-03-15
N026,2024-12-30
N026,2025-02-11
N026,2025-02-13
N026,2025-02-16
N026,2025-02-21
N027,2025-01-10
N027,2025-01-12
N027,2025-01-14
N027,2025-01-16
N027,2025-02-11
N027,2025-02-12
N027,2025-02-19
N027,2025-03-06
N027,2025-03-11
N028,2025-01-08
N028,2025-01-09
N028,2025-01-11
N028,2025-01-24
N028,2025-01-29
N028,2025-02-11
N028,2025-02-14
N028,2025-03-06
N028,2025-03-14
N028,2025-03-21
N029,2025-01-04
N029,2025-02-04
N029,2025-02-12
N029,2025-02-14
N029,2025-02-24
N029,2025-03-14
N029,2025-03-28
N030,2025-01-02
N030,2025-01-05
N030,2025-01-21
N030,2025-02-02
N030,2025-02-05
N030,2025-03-10
